ActivKey,descr,duration,duration-unit,tot-cost,predecessors
A206,Task A206,4,days,9491,"A137,A91,A60"
A207,Task A207,10,days,1101,"A168,A18,A92"
A208,Task A208,3,days,6582,"A197,A104,A33"
A209,Task A209,5,days,1349,"A14,A88"
A210,Task A210,6,days,5134,"A100,A154"
A211,Task A211,5,days,7154,A3
A212,Task A212,2,days,9922,"A23,A183,A3"
A213,Task A213,6,days,1119,"A127,A199"
A214,Task A214,5,days,8532,"A8,A197,A19"
A215,Task A215,2,days,1322,A152
A216,Task A216,8,days,1578,A60
A217,Task A217,3,days,7701,"A129,A169"
A218,Task A218,1,days,9431,"A109,A88,A114"
A219,Task A219,5,days,4953,A208
A220,Task A220,1,days,7390,"A22,A51,A60"
A221,Task A221,10,days,8676,"A164,A122,A137"
A222,Task A222,8,days,6869,"A11,A63"
A223,Task A223,5,days,3395,A10
A224,Task A224,1,days,9160,"A149,A56,A131"
A225,Task A225,8,days,8575,"A203,A94,A107"
A226,Task A226,3,days,2316,A165
A227,Task A227,8,days,2729,"A85,A6,A55"
A228,Task A228,10,days,3590,"A113,A174"
A229,Task A229,6,days,1917,"A134,A125"
A230,Task A230,3,days,4307,"A63,A101"
A231,Task A231,2,days,5650,"A24,A66"
A232,Task A232,3,days,9798,"A120,A127"
A233,Task A233,7,days,5391,A127
A234,Task A234,4,days,2113,A40
A235,Task A235,10,days,8504,A159
A236,Task A236,8,days,1730,"A107,A109"
A237,Task A237,7,days,2528,"A60,A80,A159"
A238,Task A238,9,days,8369,A235
A239,Task A239,5,days,2522,"A75,A131"
A240,Task A240,6,days,6834,"A204,A142"
A241,Task A241,9,days,8452,"A240,A51,A63"
A242,Task A242,1,days,7815,"A15,A224,A68"
A243,Task A243,9,days,1803,"A44,A150"
A244,Task A244,5,days,4215,"A24,A49,A20"
A245,Task A245,5,days,2094,"A99,A209,A80"
A246,Task A246,6,days,7673,A13
A247,Task A247,9,days,5025,"A239,A20,A126"
A248,Task A248,7,days,9694,A25
A249,Task A249,3,days,6734,"A24,A172,A225"
A250,Task A250,6,days,9393,"A194,A159,A215"
A251,Task A251,3,days,4539,"A69,A88,A66"
A252,Task A252,4,days,9884,"A174,A22"
A253,Task A253,2,days,3410,A70
A254,Task A254,1,days,1753,"A197,A188,A2"
A255,Task A255,2,days,3870,A113
A256,Task A256,4,days,7220,"A160,A115,A110"
A257,Task A257,3,days,6667,"A68,A241"
A258,Task A258,1,days,4890,"A232,A34"
A259,Task A259,4,days,2369,"A158,A103"
A260,Task A260,8,days,6607,A30
A261,Task A261,9,days,3472,A106
A262,Task A262,4,days,6913,A167
A263,Task A263,5,days,9319,"A225,A127,A138"
A264,Task A264,4,days,2790,"A184,A173,A195"
A265,Task A265,4,days,1927,"A88,A209,A191"
A266,Task A266,2,days,2324,"A86,A136,A75"
A267,Task A267,4,days,3588,"A163,A58"
A268,Task A268,4,days,7179,"A226,A162"
A269,Task A269,9,days,9409,"A28,A133,A74"
A270,Task A270,7,days,1897,A257
A271,Task A271,4,days,1272,"A106,A183"
A272,Task A272,1,days,4288,"A234,A69,A155"
A273,Task A273,3,days,9129,"A220,A181,A88"
A274,Task A274,3,days,9070,A21
A275,Task A275,3,days,9923,A32
A276,Task A276,3,days,8975,"A196,A14"
A277,Task A277,5,days,3272,A118
A278,Task A278,2,days,7139,A120
A279,Task A279,6,days,7614,"A254,A148"
A280,Task A280,3,days,5469,A19
A281,Task A281,8,days,9686,A12
A282,Task A282,6,days,1019,A11
A283,Task A283,3,days,9795,"A162,A221,A70"
A284,Task A284,2,days,1497,"A168,A198,A170"
A285,Task A285,6,days,6556,"A124,A148,A99"
A286,Task A286,2,days,1575,A283
A287,Task A287,6,days,8759,A235
A288,Task A288,4,days,4888,"A185,A207,A140"
A289,Task A289,2,days,5288,A36
A290,Task A290,2,days,3589,"A208,A13"
A291,Task A291,3,days,1334,A114
A292,Task A292,4,days,1484,"A181,A224,A77"
A293,Task A293,6,days,3931,A183
A294,Task A294,7,days,4974,"A233,A133,A188"
A295,Task A295,7,days,9253,"A7,A47,A129"
A296,Task A296,9,days,5932,A272
A297,Task A297,7,days,7619,"A189,A194,A266"
A298,Task A298,2,days,8161,"A138,A181"
A299,Task A299,9,days,5171,"A131,A115"
A300,Task A300,10,days,4856,"A229,A299,A298"
A301,Task A301,7,days,9913,"A283,A142,A46"
A302,Task A302,2,days,1387,"A86,A249"
A303,Task A303,3,days,5853,"A134,A34,A243"
A304,Task A304,7,days,8081,"A214,A273,A199"
A305,Task A305,5,days,2778,A302
A306,Task A306,7,days,5628,A250
A307,Task A307,10,days,2446,"A255,A73"
A308,Task A308,7,days,4355,A195
A309,Task A309,6,days,8077,"A169,A249"
A310,Task A310,7,days,2240,"A153,A23"
A311,Task A311,2,days,8243,A106
A312,Task A312,3,days,3663,A167
A313,Task A313,5,days,7716,"A157,A218"
A314,Task A314,7,days,3340,A272
A315,Task A315,5,days,8251,"A244,A88"
A316,Task A316,9,days,9316,"A251,A184"
A317,Task A317,3,days,5381,"A31,A252"
A318,Task A318,5,days,2315,"A156,A312"
A319,Task A319,8,days,8852,A247
A320,Task A320,3,days,1319,"A271,A4"
A321,Task A321,4,days,6178,A261
A322,Task A322,5,days,4308,A321
A323,Task A323,1,days,4406,"A149,A234"
A324,Task A324,2,days,8543,A168
A325,Task A325,4,days,2327,"A134,A301"
A326,Task A326,4,days,4684,A223
A327,Task A327,6,days,3396,"A214,A148"
A328,Task A328,9,days,1142,"A39,A228,A33"
A329,Task A329,5,days,9852,"A64,A27,A39"
A330,Task A330,1,days,6628,A28
A331,Task A331,7,days,1881,"A68,A193"
A332,Task A332,1,days,9121,"A327,A38"
A333,Task A333,8,days,6937,A50
A334,Task A334,8,days,5688,"A9,A294,A127"
A335,Task A335,3,days,4928,"A265,A99"
A336,Task A336,4,days,1252,"A219,A239"
A337,Task A337,2,days,8539,A331
A338,Task A338,3,days,6107,"A134,A185"
A339,Task A339,5,days,9645,A110
A340,Task A340,5,days,6249,A306
A341,Task A341,6,days,8204,"A112,A160"
A342,Task A342,6,days,9729,A85
A343,Task A343,2,days,7010,"A21,A186,A255"
A344,Task A344,5,days,7590,"A46,A333,A102"
A345,Task A345,5,days,1934,"A65,A254"
A346,Task A346,9,days,3368,"A12,A130"
A347,Task A347,2,days,2900,A95
A348,Task A348,9,days,8089,"A49,A122"
A349,Task A349,2,days,1659,A15
A350,Task A350,3,days,1926,"A331,A159"
A351,Task A351,3,days,9101,"A110,A181,A325"
A352,Task A352,3,days,9975,A213
A353,Task A353,10,days,6130,A123
A354,Task A354,2,days,6326,"A112,A209,A317"
A355,Task A355,8,days,5125,A212
A356,Task A356,6,days,6633,"A182,A12,A204"
A357,Task A357,6,days,5185,"A325,A89,A175"
A358,Task A358,8,days,4150,"A101,A14,A178"
A359,Task A359,10,days,9731,"A17,A27"
A360,Task A360,5,days,8260,A162
A361,Task A361,2,days,3184,A158
A362,Task A362,1,days,1105,"A54,A100"
A363,Task A363,3,days,8666,"A98,A204"
A364,Task A364,9,days,1794,"A222,A165"
A365,Task A365,1,days,9386,A294
A366,Task A366,1,days,9706,A214
A367,Task A367,10,days,6478,"A163,A8,A221"
A368,Task A368,1,days,9593,A151
A369,Task A369,10,days,8847,"A288,A300"
A370,Task A370,5,days,7910,"A218,A190"
A371,Task A371,5,days,9406,"A20,A40"
A372,Task A372,2,days,3565,"A278,A220"
A373,Task A373,1,days,4512,A257
A374,Task A374,7,days,9290,"A126,A312,A170"
A375,Task A375,1,days,3190,"A319,A309"
A376,Task A376,8,days,8497,"A31,A320,A150"
A377,Task A377,2,days,5890,"A133,A85"
A378,Task A378,4,days,4203,A370
A379,Task A379,1,days,4434,A103
A380,Task A380,10,days,5078,A342
A381,Task A381,1,days,1929,"A43,A85,A300"
A382,Task A382,5,days,8569,"A316,A357"
A383,Task A383,1,days,8082,"A138,A241"
A384,Task A384,2,days,7570,"A351,A339,A191"
A385,Task A385,1,days,4768,"A43,A226,A306"
A386,Task A386,5,days,8116,"A114,A86,A16"
A387,Task A387,1,days,4959,"A206,A36"
A388,Task A388,7,days,4794,"A125,A342,A365"
A389,Task A389,10,days,5732,"A304,A272"
A390,Task A390,9,days,9415,"A53,A154"
A391,Task A391,9,days,5629,"A119,A195"
A392,Task A392,2,days,7344,A344
A393,Task A393,3,days,2184,"A124,A331"
A394,Task A394,4,days,9135,A323
A395,Task A395,1,days,8427,"A394,A247,A189"
A396,Task A396,2,days,2117,A241
A397,Task A397,4,days,8515,A203
A398,Task A398,9,days,3274,"A115,A166"
A399,Task A399,2,days,7416,A83
A400,Task A400,2,days,8195,A391
A401,Task A401,4,days,9029,"A181,A21,A338"
A402,Task A402,10,days,1867,"A241,A336"
A403,Task A403,10,days,3121,"A77,A129,A317"
A404,Task A404,8,days,8013,"A4,A121"
A405,Task A405,5,days,4984,A30
A406,Task A406,6,days,6873,"A361,A85,A375"
A407,Task A407,8,days,8196,A116
A408,Task A408,10,days,7022,"A318,A298,A169"
A409,Task A409,6,days,3868,"A181,A67,A71"
A410,Task A410,6,days,3505,"A136,A35,A309"
A411,Task A411,9,days,7812,"A142,A383"
A412,Task A412,10,days,9165,"A189,A401,A403"
A413,Task A413,6,days,4747,"A91,A162"
A414,Task A414,1,days,6256,"A356,A44"
A415,Task A415,2,days,5655,"A273,A202,A149"
A416,Task A416,9,days,8341,"A139,A235,A41"
A417,Task A417,6,days,9150,"A70,A151,A349"
A418,Task A418,1,days,7540,A150
A419,Task A419,6,days,8479,A75
A420,Task A420,1,days,6520,"A285,A302,A91"
A421,Task A421,1,days,2845,"A247,A264"
A422,Task A422,5,days,9541,"A402,A394,A211"
A423,Task A423,1,days,5527,A416
A424,Task A424,10,days,1109,"A386,A19"
A425,Task A425,2,days,7911,A369
A426,Task A426,5,days,8760,"A419,A171"
A427,Task A427,7,days,8059,"A13,A117,A302"
A428,Task A428,5,days,3382,"A64,A6"
A429,Task A429,1,days,7610,"A4,A194,A293"
A430,Task A430,4,days,4851,"A346,A308"
A431,Task A431,3,days,2690,"A352,A23,A353"
A432,Task A432,3,days,2407,A256
A433,Task A433,1,days,8076,A274
A434,Task A434,8,days,7743,"A101,A369,A281"
A435,Task A435,1,days,4753,A328
A436,Task A436,9,days,6821,"A76,A83"
A437,Task A437,8,days,8482,"A416,A171"
A438,Task A438,6,days,8070,"A30,A250,A225"
A439,Task A439,10,days,2275,"A383,A110,A15"
A440,Task A440,1,days,2284,"A406,A301"
A441,Task A441,3,days,6509,"A16,A216,A229"
A442,Task A442,8,days,7178,"A343,A364,A424"
A443,Task A443,10,days,8327,"A114,A234,A363"
A444,Task A444,8,days,1182,"A228,A306"
A445,Task A445,9,days,1312,"A421,A237"
A446,Task A446,7,days,2543,"A271,A279,A183"
A447,Task A447,4,days,5800,"A409,A39,A237"
A448,Task A448,10,days,4111,"A232,A206"
A449,Task A449,4,days,5181,"A424,A219"
A450,Task A450,9,days,4215,"A244,A226"
A451,Task A451,8,days,1462,"A450,A293,A177"
A452,Task A452,5,days,7923,A428
A453,Task A453,1,days,3089,A397
A454,Task A454,2,days,8716,"A208,A19,A38"
A455,Task A455,3,days,3441,"A401,A225,A399"
A456,Task A456,6,days,4699,"A321,A276,A266"
A457,Task A457,8,days,9710,A314
A458,Task A458,2,days,1455,"A99,A139"
A459,Task A459,1,days,8694,A157
A460,Task A460,10,days,8681,"A200,A372,A376"
A461,Task A461,2,days,2118,A210
A462,Task A462,1,days,9337,A344
A463,Task A463,9,days,2042,A200
A464,Task A464,6,days,5036,"A413,A329,A48"
A465,Task A465,3,days,5297,"A279,A187,A243"
A466,Task A466,5,days,2634,"A31,A275"
A467,Task A467,1,days,6003,A276
A468,Task A468,1,days,3753,A179
A469,Task A469,9,days,4650,"A255,A188,A349"
A470,Task A470,6,days,4009,"A226,A380,A410"
A471,Task A471,3,days,3461,"A279,A375"
A472,Task A472,3,days,5700,A387
A473,Task A473,1,days,4961,A391
A474,Task A474,2,days,4751,"A166,A40"
A475,Task A475,7,days,7204,"A113,A338,A124"
A476,Task A476,9,days,6601,"A59,A186,A4"
A477,Task A477,10,days,1863,"A263,A91,A410"
A478,Task A478,9,days,5924,"A199,A6"
A479,Task A479,6,days,4249,"A458,A42,A392"
A480,Task A480,9,days,6867,"A362,A405"
A481,Task A481,5,days,9354,A72
A482,Task A482,6,days,5774,"A12,A332,A284"
A483,Task A483,1,days,2811,"A288,A293"
A484,Task A484,9,days,1513,A122
A485,Task A485,9,days,7087,"A349,A338"
A486,Task A486,7,days,6288,"A258,A168,A134"
A487,Task A487,10,days,3191,"A284,A186"
A488,Task A488,9,days,8377,"A427,A454,A346"
A489,Task A489,4,days,2123,"A206,A344"
A490,Task A490,9,days,1983,"A379,A361,A207"
A491,Task A491,10,days,5574,"A489,A35"
A492,Task A492,5,days,5630,A327
A493,Task A493,6,days,2876,A338
A494,Task A494,5,days,2818,A487
A495,Task A495,8,days,2623,"A419,A461"
A496,Task A496,9,days,2496,"A443,A381"
A497,Task A497,8,days,6959,"A157,A265,A357"
A498,Task A498,4,days,8642,"A460,A298"
A499,Task A499,4,days,8008,"A242,A320"
A500,Task A500,3,days,4659,"A236,A154"
A501,Task A501,4,days,3410,"A422,A190"
A502,Task A502,2,days,6186,A399
A503,Task A503,6,days,1960,"A291,A96,A344"
A504,Task A504,1,days,7160,"A172,A363"
A505,Task A505,5,days,9202,"A50,A311,A154"
A506,Task A506,2,days,7908,"A65,A33"
A507,Task A507,10,days,2456,A442
A508,Task A508,2,days,4283,"A37,A406,A259"
A509,Task A509,2,days,3149,A300
A510,Task A510,9,days,5256,"A154,A438,A483"
A511,Task A511,3,days,1654,"A41,A328"
A512,Task A512,2,days,2250,"A308,A157,A298"
A513,Task A513,5,days,5378,"A491,A209,A27"
A514,Task A514,2,days,9321,A37
A515,Task A515,2,days,1874,A173
A516,Task A516,10,days,8502,A76
A517,Task A517,1,days,1922,A273
A518,Task A518,8,days,4321,"A372,A432,A44"
A519,Task A519,1,days,4978,"A327,A40"
A520,Task A520,9,days,8750,"A453,A49"
A521,Task A521,3,days,8872,"A515,A99,A231"
A522,Task A522,3,days,1307,"A332,A420"
A523,Task A523,8,days,4561,A440
A524,Task A524,4,days,5169,A21
A525,Task A525,2,days,4283,"A40,A36,A218"
A526,Task A526,2,days,9265,A247
A527,Task A527,4,days,5789,A81
A528,Task A528,4,days,4307,A154
A529,Task A529,6,days,2211,"A363,A85,A71"
A530,Task A530,2,days,1281,"A472,A178"
A531,Task A531,2,days,3234,A56
A532,Task A532,4,days,6657,A331
A533,Task A533,6,days,2150,A210
A534,Task A534,10,days,3577,"A345,A167"
A535,Task A535,8,days,6560,A310
A536,Task A536,8,days,4527,"A440,A350,A292"
A537,Task A537,9,days,2081,A535
A538,Task A538,3,days,8265,A353
A539,Task A539,10,days,3279,"A228,A523,A219"
A540,Task A540,4,days,9521,"A175,A53,A427"
A541,Task A541,3,days,7325,"A122,A448,A62"
A542,Task A542,4,days,2528,A10
A543,Task A543,8,days,3744,A386
A544,Task A544,8,days,9259,"A220,A4,A50"
A545,Task A545,2,days,3168,A476
A546,Task A546,8,days,4756,"A532,A298"
A547,Task A547,2,days,2652,"A49,A546"
A548,Task A548,5,days,3066,"A542,A247"
A549,Task A549,3,days,3780,A366
A550,Task A550,3,days,7242,A5
A551,Task A551,7,days,7329,"A522,A256"
A552,Task A552,7,days,6336,"A381,A54"
A553,Task A553,4,days,5378,"A449,A164,A59"
A554,Task A554,6,days,9747,"A548,A462"
A555,Task A555,6,days,9165,"A496,A171,A528"
A556,Task A556,5,days,5071,A68
A557,Task A557,4,days,2305,"A24,A189"
A558,Task A558,2,days,8148,"A229,A219"
A559,Task A559,3,days,6180,"A430,A55,A276"
A560,Task A560,1,days,4177,A18
A561,Task A561,7,days,4565,"A136,A350,A445"
A562,Task A562,1,days,9237,"A537,A209,A90"
A563,Task A563,1,days,6860,"A105,A224"
A564,Task A564,8,days,1707,"A495,A408"
A565,Task A565,10,days,6532,A497
A566,Task A566,7,days,7211,"A542,A24,A126"
A567,Task A567,6,days,5256,"A277,A13"
A568,Task A568,3,days,8782,"A409,A213"
A569,Task A569,2,days,3189,A167
A570,Task A570,2,days,3517,"A182,A340,A453"
A571,Task A571,1,days,1805,"A441,A517,A44"
A572,Task A572,1,days,4265,"A546,A89,A5"
A573,Task A573,7,days,2977,"A215,A544"
A574,Task A574,10,days,4120,A391
A575,Task A575,10,days,2587,"A382,A448"
A576,Task A576,2,days,2460,A70
A577,Task A577,9,days,2960,"A10,A536"
A578,Task A578,4,days,2013,"A352,A431,A72"
A579,Task A579,5,days,6240,"A298,A80,A441"
A580,Task A580,4,days,6429,"A288,A429,A292"
A581,Task A581,9,days,5416,A262
A582,Task A582,3,days,4274,"A276,A88,A439"
A583,Task A583,9,days,1284,"A479,A182"
A584,Task A584,2,days,5689,"A428,A127"
A585,Task A585,10,days,6416,"A300,A318,A457"
A586,Task A586,1,days,2209,"A172,A103,A232"
A587,Task A587,3,days,5148,A274
A588,Task A588,6,days,4475,A469
A589,Task A589,2,days,4751,"A528,A585,A103"
A590,Task A590,7,days,8195,"A578,A555,A549"
A591,Task A591,1,days,3371,"A222,A491,A505"
A592,Task A592,1,days,2210,A84
A593,Task A593,10,days,3358,"A307,A234,A175"
A594,Task A594,1,days,9342,"A109,A6,A66"
A595,Task A595,1,days,1860,A190
A596,Task A596,8,days,4611,"A431,A73"
A597,Task A597,4,days,5906,"A463,A483"
A598,Task A598,1,days,9221,"A251,A441"
A599,Task A599,4,days,7115,A535
A600,Task A600,10,days,6916,A66
A601,Task A601,6,days,2560,"A273,A151"
A602,Task A602,4,days,3276,"A78,A360"
A603,Task A603,1,days,9024,"A261,A502,A333"
A604,Task A604,10,days,6882,"A99,A157"
A605,Task A605,4,days,6070,"A440,A357,A342"
A606,Task A606,1,days,5653,"A587,A304"
A607,Task A607,4,days,9735,A263
A608,Task A608,8,days,8817,"A305,A496"
A609,Task A609,2,days,8346,A438
A610,Task A610,2,days,5216,"A449,A31"
A611,Task A611,6,days,1705,"A492,A16,A448"
A612,Task A612,3,days,5872,"A413,A570"
A613,Task A613,1,days,6031,"A195,A452"
A614,Task A614,4,days,6418,A155
A615,Task A615,4,days,2187,"A23,A595,A570"
A616,Task A616,8,days,9007,"A273,A142,A491"
A617,Task A617,1,days,6889,"A92,A164,A378"
A618,Task A618,4,days,6329,"A59,A366,A525"
A619,Task A619,4,days,3030,"A448,A204,A276"
A620,Task A620,2,days,6599,"A146,A403,A132"
A621,Task A621,1,days,7749,"A508,A327,A98"
A622,Task A622,8,days,8656,A102
A623,Task A623,1,days,4312,A194
