Temperatura inicial: 14.10 *C
Umidade inicial: 98.00 %
Tempo (s), Temperatura (*C), Umidade (%), LED Temp, LED Hum, Mensagem
1 s, 14.10 *C, 98.00 %, OFF, OFF
139 s, 14.40 *C, 98.00 %, OFF, OFF
140 s, 14.40 *C, 98.00 %, OFF, OFF
141 s, 14.40 *C, 98.00 %, OFF, OFF
142 s, 14.40 *C, 98.00 %, OFF, OFF
143 s, 14.30 *C, 98.00 %, OFF, OFF
144 s, 14.30 *C, 98.00 %, OFF, OFF
145 s, 14.40 *C, 98.00 %, OFF, OFF
146 s, 14.40 *C, 98.00 %, OFF, OFF
147 s, 14.40 *C, 98.00 %, OFF, OFF
148 s, 14.40 *C, 98.00 %, OFF, OFF
149 s, 14.40 *C, 98.00 %, OFF, OFF
150 s, 14.40 *C, 98.00 %, OFF, OFF
151 s, 14.40 *C, 98.00 %, OFF, OFF
152 s, 14.40 *C, 98.00 %, OFF, OFF
153 s, 14.40 *C, 98.00 %, OFF, OFF
154 s, 14.40 *C, 98.00 %, OFF, OFF
155 s, 14.40 *C, 98.00 %, OFF, OFF
156 s, 14.40 *C, 98.00 %, OFF, OFF
157 s, 14.40 *C, 98.00 %, OFF, OFF
158 s, 14.40 *C, 98.00 %, OFF, OFF
160 s, 14.40 *C, 98.00 %, OFF, OFF
161 s, 14.40 *C, 98.00 %, OFF, OFF
162 s, 14.40 *C, 98.00 %, OFF, OFF
163 s, 14.40 *C, 98.00 %, OFF, OFF
164 s, 14.40 *C, 98.00 %, OFF, OFF
165 s, 14.40 *C, 98.00 %, OFF, OFF
166 s, 14.40 *C, 98.00 %, OFF, OFF
167 s, 14.40 *C, 98.00 %, OFF, OFF
168 s, 14.40 *C, 98.00 %, OFF, OFF
169 s, 14.40 *C, 98.00 %, OFF, OFF
170 s, 14.40 *C, 98.00 %, OFF, OFF
171 s, 14.40 *C, 98.00 %, OFF, OFF
172 s, 14.40 *C, 98.00 %, OFF, OFF
173 s, 14.40 *C, 98.00 %, OFF, OFF
174 s, 14.30 *C, 98.00 %, OFF, OFF
175 s, 14.30 *C, 98.00 %, OFF, OFF
176 s, 14.40 *C, 98.00 %, OFF, OFF
177 s, 14.40 *C, 98.00 %, OFF, OFF
178 s, 14.40 *C, 98.00 %, OFF, OFF
179 s, 14.40 *C, 98.00 %, OFF, OFF
180 s, 14.40 *C, 98.00 %, OFF, OFF
181 s, 14.40 *C, 98.00 %, OFF, OFF
182 s, 14.40 *C, 98.00 %, OFF, OFF
183 s, 14.40 *C, 98.00 %, OFF, OFF
184 s, 14.30 *C, 98.00 %, OFF, OFF
185 s, 14.30 *C, 98.00 %, OFF, OFF
186 s, 14.40 *C, 98.00 %, OFF, OFF
187 s, 14.40 *C, 98.00 %, OFF, OFF
188 s, 14.40 *C, 98.00 %, OFF, OFF
189 s, 14.40 *C, 98.00 %, OFF, OFF
190 s, 14.40 *C, 98.00 %, OFF, OFF
191 s, 14.40 *C, 98.00 %, OFF, OFF
192 s, 14.40 *C, 98.00 %, OFF, OFF
193 s, 14.40 *C, 98.00 %, OFF, OFF
194 s, 14.40 *C, 98.00 %, OFF, OFF
195 s, 14.40 *C, 98.00 %, OFF, OFF
196 s, 14.40 *C, 98.00 %, OFF, OFF
197 s, 14.40 *C, 98.00 %, OFF, OFF
198 s, 14.40 *C, 98.00 %, OFF, OFF
199 s, 14.40 *C, 98.00 %, OFF, OFF
200 s, 14.40 *C, 98.00 %, OFF, OFF
201 s, 14.40 *C, 98.00 %, OFF, OFF
202 s, 14.40 *C, 98.00 %, OFF, OFF
203 s, 14.40 *C, 98.00 %, OFF, OFF
204 s, 14.40 *C, 98.00 %, OFF, OFF
205 s, 14.40 *C, 98.00 %, OFF, OFF
206 s, 14.40 *C, 98.00 %, OFF, OFF
207 s, 14.40 *C, 98.00 %, OFF, OFF
208 s, 14.40 *C, 98.00 %, OFF, OFF
209 s, 14.40 *C, 98.00 %, OFF, OFF
210 s, 14.40 *C, 98.00 %, OFF, OFF
211 s, 14.40 *C, 98.00 %, OFF, OFF
212 s, 14.40 *C, 98.00 %, OFF, OFF
213 s, 14.40 *C, 98.00 %, OFF, OFF
214 s, 14.40 *C, 98.00 %, OFF, OFF
215 s, 14.40 *C, 98.00 %, OFF, OFF
216 s, 14.40 *C, 98.00 %, OFF, OFF
217 s, 14.40 *C, 98.00 %, OFF, OFF
218 s, 14.40 *C, 98.00 %, OFF, OFF
219 s, 14.40 *C, 98.00 %, OFF, OFF
220 s, 14.40 *C, 98.00 %, OFF, OFF
221 s, 14.40 *C, 98.00 %, OFF, OFF
222 s, 14.40 *C, 98.00 %, OFF, OFF
223 s, 14.40 *C, 98.00 %, OFF, OFF
224 s, 14.40 *C, 98.00 %, OFF, OFF
225 s, 14.40 *C, 98.00 %, OFF, OFF
226 s, 14.40 *C, 98.00 %, OFF, OFF
227 s, 14.40 *C, 98.00 %, OFF, OFF
228 s, 14.40 *C, 98.00 %, OFF, OFF
229 s, 14.40 *C, 98.00 %, OFF, OFF
230 s, 14.40 *C, 98.00 %, OFF, OFF
231 s, 14.40 *C, 98.00 %, OFF, OFF
232 s, 14.40 *C, 98.00 %, OFF, OFF
233 s, 14.40 *C, 98.00 %, OFF, OFF
234 s, 14.40 *C, 98.00 %, OFF, OFF
235 s, 14.40 *C, 98.00 %, OFF, OFF
236 s, 14.40 *C, 98.00 %, OFF, OFF
237 s, 14.40 *C, 98.00 %, OFF, OFF
239 s, 14.40 *C, 98.00 %, OFF, OFF
240 s, 14.40 *C, 98.00 %, OFF, OFF
241 s, 14.40 *C, 98.00 %, OFF, OFF
242 s, 14.40 *C, 98.00 %, OFF, OFF
243 s, 14.40 *C, 98.00 %, OFF, OFF
244 s, 14.40 *C, 98.00 %, OFF, OFF
245 s, 14.40 *C, 98.00 %, OFF, OFF
246 s, 14.40 *C, 98.00 %, OFF, OFF
247 s, 14.40 *C, 98.00 %, OFF, OFF
248 s, 14.40 *C, 98.00 %, OFF, OFF
249 s, 14.40 *C, 98.00 %, OFF, OFF
250 s, 14.40 *C, 98.00 %, OFF, OFF
251 s, 14.40 *C, 98.00 %, OFF, OFF
252 s, 14.40 *C, 98.00 %, OFF, OFF
253 s, 14.40 *C, 98.00 %, OFF, OFF
254 s, 14.40 *C, 98.00 %, OFF, OFF
255 s, 14.40 *C, 98.00 %, OFF, OFF
256 s, 14.40 *C, 98.00 %, OFF, OFF
257 s, 14.40 *C, 98.00 %, OFF, OFF
258 s, 14.40 *C, 98.00 %, OFF, OFF
259 s, 14.40 *C, 98.00 %, OFF, OFF
260 s, 14.40 *C, 98.00 %, OFF, OFF
261 s, 14.40 *C, 98.00 %, OFF, OFF
262 s, 14.40 *C, 98.00 %, OFF, OFF
263 s, 14.40 *C, 98.00 %, OFF, OFF
264 s, 14.40 *C, 98.00 %, OFF, OFF
265 s, 14.40 *C, 98.00 %, OFF, OFF
266 s, 14.40 *C, 98.00 %, OFF, OFF
267 s, 14.40 *C, 98.00 %, OFF, OFF
268 s, 14.40 *C, 98.00 %, OFF, OFF
269 s, 14.40 *C, 98.00 %, OFF, OFF
270 s, 14.40 *C, 98.00 %, OFF, OFF
271 s, 14.40 *C, 98.00 %, OFF, OFF
272 s, 14.40 *C, 98.00 %, OFF, OFF
273 s, 14.40 *C, 98.00 %, OFF, OFF
274 s, 14.40 *C, 98.00 %, OFF, OFF
275 s, 14.40 *C, 98.00 %, OFF, OFF
276 s, 14.40 *C, 98.00 %, OFF, OFF
277 s, 14.40 *C, 98.00 %, OFF, OFF
278 s, 14.40 *C, 98.00 %, OFF, OFF
279 s, 14.40 *C, 98.00 %, OFF, OFF
280 s, 14.40 *C, 98.00 %, OFF, OFF
281 s, 14.40 *C, 98.00 %, OFF, OFF
282 s, 14.40 *C, 98.00 %, OFF, OFF
283 s, 14.40 *C, 98.00 %, OFF, OFF
284 s, 14.40 *C, 98.00 %, OFF, OFF
285 s, 14.40 *C, 98.00 %, OFF, OFF
286 s, 14.40 *C, 98.00 %, OFF, OFF
287 s, 14.40 *C, 98.00 %, OFF, OFF
288 s, 14.40 *C, 98.00 %, OFF, OFF
289 s, 14.40 *C, 98.00 %, OFF, OFF
290 s, 14.40 *C, 98.00 %, OFF, OFF
291 s, 14.40 *C, 98.00 %, OFF, OFF
292 s, 14.40 *C, 98.00 %, OFF, OFF
293 s, 14.40 *C, 98.00 %, OFF, OFF
294 s, 14.40 *C, 98.00 %, OFF, OFF
295 s, 14.40 *C, 98.00 %, OFF, OFF
296 s, 14.40 *C, 98.00 %, OFF, OFF
297 s, 14.40 *C, 98.00 %, OFF, OFF
298 s, 14.40 *C, 98.00 %, OFF, OFF
299 s, 14.40 *C, 98.00 %, OFF, OFF
300 s, 14.40 *C, 98.00 %, OFF, OFF
301 s, 14.40 *C, 98.00 %, OFF, OFF
302 s, 14.40 *C, 98.00 %, OFF, OFF
303 s, 14.40 *C, 98.00 %, OFF, OFF
304 s, 14.40 *C, 98.00 %, OFF, OFF
305 s, 14.40 *C, 98.00 %, OFF, OFF
306 s, 14.40 *C, 98.00 %, OFF, OFF
307 s, 14.40 *C, 98.00 %, OFF, OFF
308 s, 14.40 *C, 98.00 %, OFF, OFF
309 s, 14.40 *C, 98.00 %, OFF, OFF
310 s, 14.40 *C, 98.00 %, OFF, OFF
311 s, 14.40 *C, 98.00 %, OFF, OFF
312 s, 14.40 *C, 98.00 %, OFF, OFF
313 s, 14.40 *C, 98.00 %, OFF, OFF
314 s, 14.40 *C, 98.00 %, OFF, OFF
315 s, 14.40 *C, 98.00 %, OFF, OFF
316 s, 14.40 *C, 98.00 %, OFF, OFF
318 s, 14.40 *C, 98.00 %, OFF, OFF
319 s, 14.40 *C, 98.00 %, OFF, OFF
320 s, 14.40 *C, 98.00 %, OFF, OFF
321 s, 14.40 *C, 98.00 %, OFF, OFF
322 s, 14.40 *C, 98.00 %, OFF, OFF
323 s, 14.40 *C, 98.00 %, OFF, OFF
324 s, 14.40 *C, 98.00 %, OFF, OFF
325 s, 14.40 *C, 98.00 %, OFF, OFF
326 s, 14.40 *C, 98.00 %, OFF, OFF
327 s, 14.40 *C, 98.00 %, OFF, OFF
328 s, 14.40 *C, 98.00 %, OFF, OFF
329 s, 14.40 *C, 98.00 %, OFF, OFF
330 s, 14.40 *C, 98.00 %, OFF, OFF
331 s, 14.40 *C, 98.00 %, OFF, OFF
332 s, 14.40 *C, 98.00 %, OFF, OFF
333 s, 14.40 *C, 98.00 %, OFF, OFF
334 s, 14.40 *C, 98.00 %, OFF, OFF
335 s, 14.40 *C, 98.00 %, OFF, OFF
336 s, 14.40 *C, 98.00 %, OFF, OFF
337 s, 14.40 *C, 98.00 %, OFF, OFF
338 s, 14.40 *C, 98.00 %, OFF, OFF
339 s, 14.40 *C, 98.00 %, OFF, OFF
340 s, 14.50 *C, 98.00 %, OFF, OFF
341 s, 14.50 *C, 98.00 %, OFF, OFF
342 s, 14.50 *C, 98.00 %, OFF, OFF
343 s, 14.50 *C, 98.00 %, OFF, OFF
344 s, 14.50 *C, 98.00 %, OFF, OFF
345 s, 14.50 *C, 98.00 %, OFF, OFF
346 s, 14.50 *C, 98.00 %, OFF, OFF
347 s, 14.50 *C, 98.00 %, OFF, OFF
348 s, 14.60 *C, 98.00 %, OFF, OFF
349 s, 14.60 *C, 98.00 %, OFF, OFF
350 s, 14.80 *C, 98.00 %, OFF, OFF
351 s, 14.80 *C, 98.00 %, OFF, OFF
352 s, 14.80 *C, 98.00 %, OFF, OFF
353 s, 14.80 *C, 98.00 %, OFF, OFF
354 s, 14.80 *C, 98.00 %, OFF, OFF
355 s, 14.80 *C, 98.00 %, OFF, OFF
356 s, 14.80 *C, 98.00 %, OFF, OFF
357 s, 14.80 *C, 98.00 %, OFF, OFF
358 s, 14.80 *C, 98.00 %, OFF, OFF
359 s, 14.80 *C, 98.00 %, OFF, OFF
360 s, 14.80 *C, 98.00 %, OFF, OFF
361 s, 14.80 *C, 98.00 %, OFF, OFF
362 s, 15.20 *C, 98.00 %, OFF, OFF
363 s, 15.20 *C, 98.00 %, OFF, OFF
364 s, 15.20 *C, 98.00 %, OFF, OFF
365 s, 15.20 *C, 98.00 %, OFF, OFF
366 s, 15.20 *C, 98.00 %, OFF, OFF
367 s, 15.20 *C, 98.00 %, OFF, OFF
368 s, 15.20 *C, 98.00 %, OFF, OFF
369 s, 15.20 *C, 98.00 %, OFF, OFF
370 s, 15.20 *C, 98.00 %, OFF, OFF
371 s, 15.20 *C, 98.00 %, OFF, OFF
372 s, 15.30 *C, 98.00 %, OFF, OFF
373 s, 15.30 *C, 98.00 %, OFF, OFF
374 s, 15.70 *C, 98.00 %, OFF, OFF
375 s, 15.70 *C, 98.00 %, OFF, OFF
376 s, 15.70 *C, 98.00 %, OFF, OFF
377 s, 15.70 *C, 98.00 %, OFF, OFF
378 s, 15.70 *C, 98.00 %, OFF, OFF
379 s, 15.70 *C, 98.00 %, OFF, OFF
380 s, 15.70 *C, 98.00 %, OFF, OFF
381 s, 15.70 *C, 98.00 %, OFF, OFF
382 s, 15.70 *C, 98.00 %, OFF, OFF
383 s, 15.70 *C, 98.00 %, OFF, OFF
384 s, 15.70 *C, 98.00 %, OFF, OFF
385 s, 15.70 *C, 98.00 %, OFF, OFF
386 s, 16.00 *C, 98.00 %, OFF, OFF
387 s, 16.00 *C, 98.00 %, OFF, OFF
388 s, 16.10 *C, 98.00 %, OFF, OFF
389 s, 16.10 *C, 98.00 %, OFF, OFF
390 s, 16.10 *C, 98.00 %, OFF, OFF
391 s, 16.10 *C, 98.00 %, OFF, OFF
392 s, 16.10 *C, 98.00 %, OFF, OFF
393 s, 16.10 *C, 98.00 %, OFF, OFF
394 s, 16.10 *C, 98.00 %, OFF, OFF
395 s, 16.10 *C, 98.00 %, OFF, OFF
397 s, 16.10 *C, 98.00 %, OFF, OFF
398 s, 16.10 *C, 98.00 %, OFF, OFF
399 s, 16.10 *C, 98.00 %, OFF, OFF
400 s, 16.10 *C, 98.00 %, OFF, OFF
401 s, 16.40 *C, 98.00 %, OFF, OFF
402 s, 16.40 *C, 98.00 %, OFF, OFF
403 s, 16.40 *C, 98.00 %, OFF, OFF
404 s, 16.40 *C, 98.00 %, OFF, OFF
405 s, 16.60 *C, 98.00 %, OFF, OFF
406 s, 16.60 *C, 98.00 %, OFF, OFF
407 s, 16.60 *C, 98.00 %, OFF, OFF
408 s, 16.60 *C, 98.00 %, OFF, OFF
409 s, 16.60 *C, 98.00 %, OFF, OFF
410 s, 16.60 *C, 98.00 %, OFF, OFF
411 s, 16.60 *C, 98.00 %, OFF, OFF
412 s, 16.60 *C, 98.00 %, OFF, OFF
413 s, 16.60 *C, 98.00 %, OFF, OFF
414 s, 16.60 *C, 98.00 %, OFF, OFF
415 s, 16.60 *C, 98.00 %, OFF, OFF
416 s, 16.60 *C, 98.00 %, OFF, OFF
417 s, 16.60 *C, 98.00 %, OFF, OFF
418 s, 16.60 *C, 98.00 %, OFF, OFF
419 s, 16.60 *C, 98.00 %, OFF, OFF
420 s, 16.60 *C, 98.00 %, OFF, OFF
421 s, 17.00 *C, 98.00 %, OFF, OFF
422 s, 17.00 *C, 98.00 %, OFF, OFF
423 s, 17.00 *C, 98.00 %, OFF, OFF
424 s, 17.00 *C, 98.00 %, OFF, OFF
425 s, 17.00 *C, 98.00 %, OFF, OFF
426 s, 17.00 *C, 98.00 %, OFF, OFF
427 s, 17.00 *C, 98.00 %, OFF, OFF
428 s, 17.00 *C, 98.00 %, OFF, OFF
429 s, 17.00 *C, 98.00 %, OFF, OFF
430 s, 17.00 *C, 98.00 %, OFF, OFF
431 s, 17.00 *C, 98.00 %, OFF, OFF
432 s, 17.00 *C, 98.00 %, OFF, OFF
433 s, 17.00 *C, 98.00 %, OFF, OFF
434 s, 17.00 *C, 98.00 %, OFF, OFF
435 s, 17.00 *C, 98.00 %, OFF, OFF
436 s, 17.00 *C, 98.00 %, OFF, OFF
437 s, 17.00 *C, 98.00 %, OFF, OFF
438 s, 17.00 *C, 98.00 %, OFF, OFF
439 s, 17.00 *C, 98.00 %, OFF, OFF
440 s, 17.00 *C, 98.00 %, OFF, OFF
441 s, 17.00 *C, 98.00 %, OFF, OFF
442 s, 17.00 *C, 98.00 %, OFF, OFF
443 s, 17.00 *C, 98.00 %, OFF, OFF
444 s, 17.00 *C, 98.00 %, OFF, OFF
445 s, 17.00 *C, 98.00 %, OFF, OFF
446 s, 17.00 *C, 98.00 %, OFF, OFF
447 s, 17.10 *C, 98.00 %, OFF, OFF
448 s, 17.10 *C, 98.00 %, OFF, OFF
449 s, 17.30 *C, 98.00 %, OFF, OFF
450 s, 17.30 *C, 98.00 %, OFF, OFF
451 s, 17.40 *C, 98.00 %, OFF, OFF
452 s, 17.40 *C, 98.00 %, OFF, OFF
453 s, 17.40 *C, 98.00 %, OFF, OFF
454 s, 17.40 *C, 98.00 %, OFF, OFF
455 s, 17.40 *C, 98.00 %, OFF, OFF
456 s, 17.40 *C, 98.00 %, OFF, OFF
457 s, 17.40 *C, 98.00 %, OFF, OFF
458 s, 17.40 *C, 98.00 %, OFF, OFF
459 s, 17.40 *C, 98.00 %, OFF, OFF
460 s, 17.40 *C, 98.00 %, OFF, OFF
461 s, 17.40 *C, 98.00 %, OFF, OFF
462 s, 17.40 *C, 98.00 %, OFF, OFF
463 s, 17.40 *C, 98.00 %, OFF, OFF
464 s, 17.40 *C, 98.00 %, OFF, OFF
465 s, 17.40 *C, 98.00 %, OFF, OFF
466 s, 17.40 *C, 98.00 %, OFF, OFF
467 s, 17.40 *C, 98.00 %, OFF, OFF
468 s, 17.40 *C, 98.00 %, OFF, OFF
469 s, 17.40 *C, 98.00 %, OFF, OFF
470 s, 17.40 *C, 98.00 %, OFF, OFF
471 s, 17.40 *C, 98.00 %, OFF, OFF
472 s, 17.40 *C, 98.00 %, OFF, OFF
474 s, 17.40 *C, 98.00 %, OFF, OFF
475 s, 17.40 *C, 98.00 %, OFF, OFF
476 s, 17.40 *C, 98.00 %, OFF, OFF
477 s, 17.40 *C, 98.00 %, OFF, OFF
478 s, 17.40 *C, 98.00 %, OFF, OFF
479 s, 17.40 *C, 98.00 %, OFF, OFF
480 s, 17.40 *C, 98.00 %, OFF, OFF
481 s, 17.40 *C, 98.00 %, OFF, OFF
482 s, 17.40 *C, 98.00 %, OFF, OFF
483 s, 17.40 *C, 98.00 %, OFF, OFF
484 s, 17.40 *C, 98.00 %, OFF, OFF
485 s, 17.40 *C, 98.00 %, OFF, OFF
486 s, 17.40 *C, 98.00 %, OFF, OFF
487 s, 17.40 *C, 98.00 %, OFF, OFF
488 s, 17.40 *C, 98.00 %, OFF, OFF
489 s, 17.40 *C, 98.00 %, OFF, OFF
490 s, 17.40 *C, 98.00 %, OFF, OFF
491 s, 17.40 *C, 98.00 %, OFF, OFF
492 s, 17.40 *C, 98.00 %, OFF, OFF
493 s, 17.40 *C, 98.00 %, OFF, OFF
494 s, 17.40 *C, 98.00 %, OFF, OFF
495 s, 17.40 *C, 98.00 %, OFF, OFF
496 s, 17.40 *C, 98.00 %, OFF, OFF
497 s, 17.40 *C, 98.00 %, OFF, OFF
498 s, 17.40 *C, 98.00 %, OFF, OFF
499 s, 17.40 *C, 98.00 %, OFF, OFF
500 s, 17.40 *C, 98.00 %, OFF, OFF
501 s, 17.40 *C, 98.00 %, OFF, OFF
502 s, 17.40 *C, 98.00 %, OFF, OFF
503 s, 17.40 *C, 98.00 %, OFF, OFF
504 s, 17.60 *C, 98.00 %, OFF, OFF
505 s, 17.60 *C, 98.00 %, OFF, OFF
506 s, 17.70 *C, 98.00 %, OFF, OFF
507 s, 17.70 *C, 98.00 %, OFF, OFF
508 s, 17.80 *C, 98.00 %, OFF, OFF
509 s, 17.80 *C, 98.00 %, OFF, OFF
510 s, 17.80 *C, 98.00 %, OFF, OFF
511 s, 17.80 *C, 98.00 %, OFF, OFF
512 s, 17.80 *C, 98.00 %, OFF, OFF
513 s, 17.80 *C, 98.00 %, OFF, OFF
514 s, 17.80 *C, 98.00 %, OFF, OFF
515 s, 17.80 *C, 98.00 %, OFF, OFF
516 s, 17.80 *C, 98.00 %, OFF, OFF
517 s, 17.80 *C, 98.00 %, OFF, OFF
518 s, 17.80 *C, 98.00 %, OFF, OFF
