Temperatura inicial: 20.00 *C
Umidade inicial: 77.00 %
Tempo (s), Temperatura (*C), Umidade (%), LED Temp, LED Hum, Mensagem
1 s, 20.00 *C, 77.00 %, OFF, OFF
37 s, 19.80 *C, 78.00 %, OFF, OFF
38 s, 19.80 *C, 78.00 %, OFF, OFF
39 s, 19.80 *C, 78.00 %, OFF, OFF
40 s, 19.80 *C, 79.00 %, OFF, OFF
41 s, 19.80 *C, 79.00 %, OFF, OFF
42 s, 19.80 *C, 79.00 %, OFF, OFF
43 s, 19.80 *C, 79.00 %, OFF, OFF
44 s, 19.80 *C, 79.00 %, OFF, OFF
45 s, 19.80 *C, 79.00 %, OFF, OFF
46 s, 19.80 *C, 79.00 %, OFF, OFF
47 s, 19.80 *C, 79.00 %, OFF, OFF
48 s, 19.80 *C, 79.00 %, OFF, OFF
49 s, 19.80 *C, 79.00 %, OFF, OFF
50 s, 19.80 *C, 79.00 %, OFF, OFF
51 s, 19.80 *C, 79.00 %, OFF, OFF
52 s, 19.80 *C, 79.00 %, OFF, OFF
53 s, 19.80 *C, 79.00 %, OFF, OFF
54 s, 19.80 *C, 79.00 %, OFF, OFF
55 s, 19.80 *C, 79.00 %, OFF, OFF
56 s, 19.80 *C, 79.00 %, OFF, OFF
57 s, 19.80 *C, 79.00 %, OFF, OFF
58 s, 19.80 *C, 79.00 %, OFF, OFF
59 s, 19.80 *C, 79.00 %, OFF, OFF
60 s, 19.80 *C, 79.00 %, OFF, OFF
61 s, 19.80 *C, 79.00 %, OFF, OFF
62 s, 19.80 *C, 79.00 %, OFF, OFF
63 s, 19.80 *C, 79.00 %, OFF, OFF
64 s, 19.80 *C, 79.00 %, OFF, OFF
65 s, 19.80 *C, 79.00 %, OFF, OFF
66 s, 19.80 *C, 79.00 %, OFF, OFF
67 s, 19.80 *C, 79.00 %, OFF, OFF
68 s, 19.80 *C, 79.00 %, OFF, OFF
69 s, 19.80 *C, 79.00 %, OFF, OFF
70 s, 19.80 *C, 79.00 %, OFF, OFF
71 s, 19.80 *C, 79.00 %, OFF, OFF
72 s, 19.80 *C, 79.00 %, OFF, OFF
73 s, 19.80 *C, 79.00 %, OFF, OFF
74 s, 19.80 *C, 79.00 %, OFF, OFF
75 s, 19.80 *C, 79.00 %, OFF, OFF
76 s, 19.80 *C, 79.00 %, OFF, OFF
77 s, 19.80 *C, 79.00 %, OFF, OFF
79 s, 19.80 *C, 79.00 %, OFF, OFF
80 s, 19.80 *C, 79.00 %, OFF, OFF
81 s, 19.80 *C, 79.00 %, OFF, OFF
82 s, 19.80 *C, 79.00 %, OFF, OFF
83 s, 19.80 *C, 79.00 %, OFF, OFF
84 s, 19.80 *C, 79.00 %, OFF, OFF
85 s, 19.80 *C, 80.00 %, OFF, OFF
86 s, 19.80 *C, 80.00 %, OFF, OFF
87 s, 19.80 *C, 80.00 %, OFF, OFF
88 s, 19.80 *C, 80.00 %, OFF, OFF
89 s, 19.80 *C, 80.00 %, OFF, OFF
90 s, 19.80 *C, 80.00 %, OFF, OFF
91 s, 19.80 *C, 80.00 %, OFF, OFF
92 s, 19.80 *C, 80.00 %, OFF, OFF
93 s, 19.80 *C, 80.00 %, OFF, OFF
94 s, 19.80 *C, 80.00 %, OFF, OFF
95 s, 19.80 *C, 80.00 %, OFF, OFF
96 s, 19.80 *C, 80.00 %, OFF, OFF
97 s, 19.80 *C, 80.00 %, OFF, OFF
98 s, 19.80 *C, 80.00 %, OFF, OFF
99 s, 19.80 *C, 80.00 %, OFF, OFF
100 s, 19.80 *C, 80.00 %, OFF, OFF
101 s, 19.80 *C, 80.00 %, OFF, OFF
102 s, 19.80 *C, 80.00 %, OFF, OFF
103 s, 19.80 *C, 80.00 %, OFF, OFF
104 s, 19.80 *C, 80.00 %, OFF, OFF
105 s, 19.80 *C, 80.00 %, OFF, OFF
106 s, 19.80 *C, 80.00 %, OFF, OFF
107 s, 19.80 *C, 80.00 %, OFF, OFF
108 s, 19.80 *C, 80.00 %, OFF, OFF
109 s, 19.80 *C, 80.00 %, OFF, OFF
110 s, 19.80 *C, 80.00 %, OFF, OFF
111 s, 19.80 *C, 80.00 %, OFF, OFF
112 s, 19.80 *C, 80.00 %, OFF, OFF
113 s, 19.80 *C, 80.00 %, OFF, OFF
114 s, 19.80 *C, 80.00 %, OFF, OFF
115 s, 19.80 *C, 80.00 %, OFF, OFF
116 s, 19.80 *C, 80.00 %, OFF, OFF
117 s, 19.80 *C, 80.00 %, OFF, OFF
118 s, 19.80 *C, 80.00 %, OFF, OFF
119 s, 19.80 *C, 80.00 %, OFF, OFF
120 s, 19.80 *C, 80.00 %, OFF, OFF
121 s, 19.80 *C, 80.00 %, OFF, OFF
122 s, 19.80 *C, 80.00 %, OFF, OFF
123 s, 19.80 *C, 80.00 %, OFF, OFF
124 s, 19.80 *C, 80.00 %, OFF, OFF
125 s, 19.80 *C, 80.00 %, OFF, OFF
126 s, 19.80 *C, 80.00 %, OFF, OFF
127 s, 19.80 *C, 80.00 %, OFF, OFF
128 s, 19.80 *C, 80.00 %, OFF, OFF
129 s, 19.80 *C, 80.00 %, OFF, OFF
130 s, 19.80 *C, 80.00 %, OFF, OFF
131 s, 19.80 *C, 80.00 %, OFF, OFF
132 s, 19.80 *C, 80.00 %, OFF, OFF
133 s, 19.80 *C, 80.00 %, OFF, OFF
134 s, 19.80 *C, 80.00 %, OFF, OFF
135 s, 19.80 *C, 80.00 %, OFF, OFF
136 s, 19.80 *C, 80.00 %, OFF, OFF
137 s, 19.80 *C, 80.00 %, OFF, OFF
138 s, 19.80 *C, 80.00 %, OFF, OFF
139 s, 19.80 *C, 80.00 %, OFF, OFF
140 s, 19.80 *C, 80.00 %, OFF, OFF
141 s, 19.80 *C, 80.00 %, OFF, OFF
142 s, 19.80 *C, 80.00 %, OFF, OFF
143 s, 19.80 *C, 80.00 %, OFF, OFF
144 s, 19.80 *C, 80.00 %, OFF, OFF
145 s, 19.80 *C, 80.00 %, OFF, OFF
146 s, 19.80 *C, 80.00 %, OFF, OFF
147 s, 19.80 *C, 80.00 %, OFF, OFF
148 s, 19.80 *C, 80.00 %, OFF, OFF
149 s, 19.80 *C, 80.00 %, OFF, OFF
150 s, 19.80 *C, 80.00 %, OFF, OFF
151 s, 19.80 *C, 80.00 %, OFF, OFF
152 s, 19.80 *C, 80.00 %, OFF, OFF
153 s, 19.80 *C, 80.00 %, OFF, OFF
154 s, 19.80 *C, 80.00 %, OFF, OFF
155 s, 19.80 *C, 80.00 %, OFF, OFF
156 s, 19.80 *C, 80.00 %, OFF, OFF
158 s, 19.80 *C, 80.00 %, OFF, OFF
159 s, 19.80 *C, 80.00 %, OFF, OFF
160 s, 19.80 *C, 80.00 %, OFF, OFF
161 s, 19.80 *C, 80.00 %, OFF, OFF
162 s, 19.80 *C, 80.00 %, OFF, OFF
163 s, 19.80 *C, 80.00 %, OFF, OFF
164 s, 19.80 *C, 80.00 %, OFF, OFF
165 s, 19.80 *C, 80.00 %, OFF, OFF
166 s, 19.80 *C, 80.00 %, OFF, OFF
167 s, 19.80 *C, 80.00 %, OFF, OFF
168 s, 19.80 *C, 80.00 %, OFF, OFF
169 s, 19.80 *C, 80.00 %, OFF, OFF
170 s, 19.80 *C, 81.00 %, OFF, ON | LED de umidade acendeu
171 s, 19.80 *C, 81.00 %, OFF, ON
172 s, 19.80 *C, 81.00 %, OFF, ON
173 s, 19.80 *C, 81.00 %, OFF, ON
174 s, 19.80 *C, 81.00 %, OFF, ON
175 s, 19.80 *C, 81.00 %, OFF, ON
176 s, 19.80 *C, 81.00 %, OFF, ON
177 s, 19.80 *C, 81.00 %, OFF, ON
178 s, 19.80 *C, 81.00 %, OFF, ON
179 s, 19.80 *C, 81.00 %, OFF, ON
180 s, 19.80 *C, 81.00 %, OFF, ON
181 s, 19.80 *C, 81.00 %, OFF, ON
182 s, 19.80 *C, 81.00 %, OFF, ON
183 s, 19.80 *C, 81.00 %, OFF, ON
184 s, 19.80 *C, 81.00 %, OFF, ON
185 s, 19.80 *C, 81.00 %, OFF, ON
186 s, 19.80 *C, 81.00 %, OFF, ON
187 s, 19.80 *C, 81.00 %, OFF, ON
188 s, 19.80 *C, 81.00 %, OFF, ON
189 s, 19.80 *C, 81.00 %, OFF, ON
190 s, 19.80 *C, 81.00 %, OFF, ON
191 s, 19.80 *C, 81.00 %, OFF, ON
192 s, 19.80 *C, 81.00 %, OFF, ON
193 s, 19.80 *C, 81.00 %, OFF, ON
194 s, 19.80 *C, 81.00 %, OFF, ON
195 s, 19.80 *C, 81.00 %, OFF, ON
196 s, 19.80 *C, 81.00 %, OFF, ON
197 s, 19.80 *C, 81.00 %, OFF, ON
198 s, 19.80 *C, 81.00 %, OFF, ON
199 s, 19.80 *C, 81.00 %, OFF, ON
200 s, 19.80 *C, 81.00 %, OFF, ON
201 s, 19.80 *C, 81.00 %, OFF, ON
202 s, 19.80 *C, 81.00 %, OFF, ON
203 s, 19.80 *C, 81.00 %, OFF, ON
204 s, 19.80 *C, 81.00 %, OFF, ON
205 s, 19.80 *C, 81.00 %, OFF, ON
206 s, 19.80 *C, 81.00 %, OFF, ON
207 s, 19.80 *C, 81.00 %, OFF, ON
208 s, 19.80 *C, 81.00 %, OFF, ON
209 s, 19.80 *C, 81.00 %, OFF, ON
210 s, 19.80 *C, 81.00 %, OFF, ON
211 s, 19.80 *C, 81.00 %, OFF, ON
212 s, 19.80 *C, 81.00 %, OFF, ON
213 s, 19.80 *C, 81.00 %, OFF, ON
214 s, 19.80 *C, 81.00 %, OFF, ON
215 s, 19.80 *C, 81.00 %, OFF, ON
216 s, 19.80 *C, 81.00 %, OFF, ON
217 s, 19.80 *C, 81.00 %, OFF, ON
218 s, 19.80 *C, 81.00 %, OFF, ON
219 s, 19.80 *C, 81.00 %, OFF, ON
220 s, 19.80 *C, 81.00 %, OFF, ON
221 s, 19.80 *C, 81.00 %, OFF, ON
222 s, 19.80 *C, 81.00 %, OFF, ON
223 s, 19.80 *C, 81.00 %, OFF, ON
224 s, 19.80 *C, 81.00 %, OFF, ON
225 s, 19.80 *C, 81.00 %, OFF, ON
226 s, 19.80 *C, 81.00 %, OFF, ON
227 s, 19.80 *C, 81.00 %, OFF, ON
228 s, 19.80 *C, 81.00 %, OFF, ON
229 s, 19.80 *C, 81.00 %, OFF, ON
230 s, 19.80 *C, 81.00 %, OFF, ON
231 s, 19.80 *C, 81.00 %, OFF, ON
232 s, 19.80 *C, 81.00 %, OFF, ON
233 s, 19.80 *C, 81.00 %, OFF, ON
234 s, 19.80 *C, 81.00 %, OFF, ON
235 s, 19.80 *C, 81.00 %, OFF, ON
236 s, 19.80 *C, 81.00 %, OFF, ON
237 s, 19.80 *C, 81.00 %, OFF, ON
239 s, 19.80 *C, 81.00 %, OFF, ON
240 s, 19.80 *C, 81.00 %, OFF, ON
241 s, 19.80 *C, 81.00 %, OFF, ON
242 s, 19.80 *C, 81.00 %, OFF, ON
243 s, 19.80 *C, 81.00 %, OFF, ON
244 s, 19.80 *C, 81.00 %, OFF, ON
245 s, 19.80 *C, 81.00 %, OFF, ON
246 s, 19.80 *C, 81.00 %, OFF, ON
247 s, 19.80 *C, 81.00 %, OFF, ON
248 s, 19.80 *C, 81.00 %, OFF, ON
249 s, 19.80 *C, 81.00 %, OFF, ON
250 s, 19.80 *C, 81.00 %, OFF, ON
251 s, 19.80 *C, 81.00 %, OFF, ON
252 s, 19.80 *C, 81.00 %, OFF, ON
253 s, 19.80 *C, 81.00 %, OFF, ON
254 s, 19.80 *C, 81.00 %, OFF, ON
255 s, 19.80 *C, 81.00 %, OFF, ON
256 s, 19.80 *C, 81.00 %, OFF, ON
257 s, 19.80 *C, 81.00 %, OFF, ON
258 s, 19.80 *C, 81.00 %, OFF, ON
259 s, 19.80 *C, 81.00 %, OFF, ON
260 s, 19.80 *C, 81.00 %, OFF, ON
261 s, 19.80 *C, 81.00 %, OFF, ON
262 s, 19.80 *C, 81.00 %, OFF, ON
263 s, 19.80 *C, 81.00 %, OFF, ON
264 s, 19.80 *C, 81.00 %, OFF, ON
265 s, 19.80 *C, 81.00 %, OFF, ON
266 s, 19.80 *C, 81.00 %, OFF, ON
267 s, 19.80 *C, 81.00 %, OFF, ON
268 s, 19.80 *C, 81.00 %, OFF, ON
269 s, 19.80 *C, 81.00 %, OFF, ON
270 s, 19.80 *C, 81.00 %, OFF, ON
271 s, 19.80 *C, 81.00 %, OFF, ON
272 s, 19.80 *C, 81.00 %, OFF, ON
273 s, 19.80 *C, 81.00 %, OFF, ON
274 s, 19.80 *C, 81.00 %, OFF, ON
275 s, 19.80 *C, 81.00 %, OFF, ON
276 s, 19.80 *C, 81.00 %, OFF, ON
277 s, 19.80 *C, 81.00 %, OFF, ON
278 s, 19.80 *C, 81.00 %, OFF, ON
279 s, 19.80 *C, 81.00 %, OFF, ON
280 s, 19.80 *C, 81.00 %, OFF, ON
281 s, 19.80 *C, 81.00 %, OFF, ON
282 s, 19.80 *C, 81.00 %, OFF, ON
283 s, 19.80 *C, 81.00 %, OFF, ON
284 s, 19.80 *C, 81.00 %, OFF, ON
285 s, 19.80 *C, 81.00 %, OFF, ON
286 s, 19.80 *C, 81.00 %, OFF, ON
287 s, 19.80 *C, 81.00 %, OFF, ON
288 s, 19.80 *C, 81.00 %, OFF, ON
289 s, 19.80 *C, 81.00 %, OFF, ON
290 s, 19.80 *C, 81.00 %, OFF, ON
291 s, 19.80 *C, 81.00 %, OFF, ON
292 s, 19.80 *C, 81.00 %, OFF, ON
293 s, 19.80 *C, 81.00 %, OFF, ON
294 s, 19.80 *C, 81.00 %, OFF, ON
295 s, 19.80 *C, 82.00 %, OFF, ON
296 s, 19.80 *C, 82.00 %, OFF, ON
297 s, 19.80 *C, 82.00 %, OFF, ON
298 s, 19.80 *C, 82.00 %, OFF, ON
299 s, 19.80 *C, 84.00 %, OFF, ON
300 s, 19.80 *C, 84.00 %, OFF, ON
301 s, 19.80 *C, 86.00 %, OFF, ON
302 s, 19.80 *C, 86.00 %, OFF, ON
303 s, 19.80 *C, 88.00 %, OFF, ON
304 s, 19.80 *C, 88.00 %, OFF, ON
305 s, 20.20 *C, 90.00 %, OFF, ON
306 s, 20.20 *C, 90.00 %, OFF, ON
307 s, 20.60 *C, 90.00 %, OFF, ON
308 s, 20.60 *C, 90.00 %, OFF, ON
309 s, 20.60 *C, 91.00 %, OFF, ON
310 s, 20.60 *C, 91.00 %, OFF, ON
311 s, 21.00 *C, 91.00 %, OFF, ON
312 s, 21.00 *C, 91.00 %, OFF, ON
313 s, 21.40 *C, 91.00 %, OFF, ON
314 s, 21.40 *C, 91.00 %, OFF, ON
315 s, 21.80 *C, 91.00 %, OFF, ON
316 s, 21.80 *C, 91.00 %, OFF, ON
318 s, 22.20 *C, 91.00 %, OFF, ON
319 s, 22.20 *C, 91.00 %, OFF, ON
320 s, 22.60 *C, 91.00 %, OFF, ON
321 s, 22.60 *C, 91.00 %, OFF, ON
322 s, 23.00 *C, 90.00 %, OFF, ON
323 s, 23.00 *C, 90.00 %, OFF, ON
324 s, 23.40 *C, 90.00 %, OFF, ON
325 s, 23.40 *C, 90.00 %, OFF, ON
326 s, 23.80 *C, 89.00 %, OFF, ON
327 s, 23.80 *C, 89.00 %, OFF, ON
328 s, 23.80 *C, 89.00 %, OFF, ON
329 s, 23.80 *C, 89.00 %, OFF, ON
330 s, 24.10 *C, 88.00 %, OFF, ON
331 s, 24.10 *C, 88.00 %, OFF, ON
332 s, 24.50 *C, 86.00 %, OFF, ON
333 s, 24.50 *C, 86.00 %, OFF, ON
334 s, 24.80 *C, 85.00 %, OFF, ON
335 s, 24.80 *C, 85.00 %, OFF, ON
336 s, 25.30 *C, 83.00 %, ON, ON | LED de temperatura acendeu
337 s, 25.30 *C, 83.00 %, ON, ON
338 s, 25.80 *C, 81.00 %, ON, ON
339 s, 25.80 *C, 81.00 %, ON, ON
340 s, 26.20 *C, 80.00 %, ON, OFF | LED de umidade apagou
341 s, 26.20 *C, 80.00 %, ON, OFF
342 s, 26.70 *C, 78.00 %, ON, OFF
343 s, 26.70 *C, 78.00 %, ON, OFF
344 s, 27.10 *C, 76.00 %, ON, OFF
345 s, 27.10 *C, 76.00 %, ON, OFF
346 s, 27.20 *C, 74.00 %, ON, OFF
347 s, 27.20 *C, 74.00 %, ON, OFF
348 s, 27.60 *C, 73.00 %, ON, OFF
349 s, 27.60 *C, 73.00 %, ON, OFF
350 s, 28.00 *C, 70.00 %, ON, OFF
351 s, 28.00 *C, 70.00 %, ON, OFF
352 s, 28.50 *C, 68.00 %, ON, OFF
353 s, 28.50 *C, 68.00 %, ON, OFF
354 s, 28.90 *C, 64.00 %, ON, OFF
355 s, 28.90 *C, 64.00 %, ON, OFF
356 s, 28.90 *C, 62.00 %, ON, OFF
357 s, 28.90 *C, 62.00 %, ON, OFF
358 s, 29.30 *C, 59.00 %, ON, OFF
359 s, 29.30 *C, 59.00 %, ON, OFF
360 s, 29.80 *C, 57.00 %, ON, OFF
361 s, 29.80 *C, 57.00 %, ON, OFF
362 s, 29.80 *C, 55.00 %, ON, OFF
363 s, 29.80 *C, 55.00 %, ON, OFF
364 s, 30.20 *C, 52.00 %, ON, OFF
365 s, 30.20 *C, 52.00 %, ON, OFF
366 s, 30.20 *C, 51.00 %, ON, OFF
367 s, 30.20 *C, 51.00 %, ON, OFF
368 s, 30.80 *C, 50.00 %, ON, OFF
369 s, 30.80 *C, 50.00 %, ON, OFF
370 s, 30.80 *C, 48.00 %, ON, OFF
371 s, 30.80 *C, 48.00 %, ON, OFF
372 s, 31.20 *C, 47.00 %, ON, OFF
373 s, 31.20 *C, 47.00 %, ON, OFF
374 s, 31.30 *C, 47.00 %, ON, OFF
375 s, 31.30 *C, 47.00 %, ON, OFF
376 s, 31.30 *C, 46.00 %, ON, OFF
377 s, 31.30 *C, 46.00 %, ON, OFF
378 s, 31.80 *C, 45.00 %, ON, OFF
379 s, 31.80 *C, 45.00 %, ON, OFF
380 s, 31.80 *C, 45.00 %, ON, OFF
381 s, 31.80 *C, 45.00 %, ON, OFF
382 s, 31.80 *C, 44.00 %, ON, OFF
383 s, 31.80 *C, 44.00 %, ON, OFF
384 s, 31.80 *C, 43.00 %, ON, OFF
385 s, 31.80 *C, 43.00 %, ON, OFF
386 s, 32.10 *C, 42.00 %, ON, OFF
387 s, 32.10 *C, 42.00 %, ON, OFF
388 s, 32.30 *C, 42.00 %, ON, OFF
389 s, 32.30 *C, 42.00 %, ON, OFF
390 s, 32.30 *C, 42.00 %, ON, OFF
391 s, 32.30 *C, 42.00 %, ON, OFF
392 s, 32.30 *C, 41.00 %, ON, OFF
393 s, 32.30 *C, 41.00 %, ON, OFF
394 s, 32.30 *C, 41.00 %, ON, OFF
395 s, 32.30 *C, 41.00 %, ON, OFF
397 s, 32.30 *C, 41.00 %, ON, OFF
398 s, 32.30 *C, 41.00 %, ON, OFF
399 s, 32.30 *C, 41.00 %, ON, OFF
400 s, 32.30 *C, 41.00 %, ON, OFF
401 s, 32.50 *C, 40.00 %, ON, OFF
402 s, 32.50 *C, 40.00 %, ON, OFF
403 s, 32.80 *C, 40.00 %, ON, OFF
404 s, 32.80 *C, 40.00 %, ON, OFF
405 s, 32.80 *C, 40.00 %, ON, OFF
406 s, 32.80 *C, 40.00 %, ON, OFF
407 s, 32.80 *C, 40.00 %, ON, OFF
408 s, 32.80 *C, 40.00 %, ON, OFF
409 s, 32.80 *C, 40.00 %, ON, OFF
410 s, 32.80 *C, 40.00 %, ON, OFF
411 s, 32.80 *C, 40.00 %, ON, OFF
412 s, 32.80 *C, 40.00 %, ON, OFF
413 s, 32.80 *C, 40.00 %, ON, OFF
414 s, 32.80 *C, 40.00 %, ON, OFF
415 s, 32.80 *C, 40.00 %, ON, OFF
416 s, 32.80 *C, 40.00 %, ON, OFF
417 s, 32.80 *C, 39.00 %, ON, OFF
418 s, 32.80 *C, 39.00 %, ON, OFF
419 s, 32.80 *C, 39.00 %, ON, OFF
420 s, 32.80 *C, 39.00 %, ON, OFF
421 s, 32.80 *C, 39.00 %, ON, OFF
422 s, 32.80 *C, 39.00 %, ON, OFF
423 s, 32.80 *C, 39.00 %, ON, OFF
424 s, 32.80 *C, 39.00 %, ON, OFF
425 s, 33.30 *C, 38.00 %, ON, OFF
426 s, 33.30 *C, 38.00 %, ON, OFF
427 s, 33.30 *C, 38.00 %, ON, OFF
428 s, 33.30 *C, 38.00 %, ON, OFF
429 s, 33.30 *C, 38.00 %, ON, OFF
430 s, 33.30 *C, 38.00 %, ON, OFF
431 s, 33.30 *C, 38.00 %, ON, OFF
432 s, 33.30 *C, 38.00 %, ON, OFF
433 s, 33.30 *C, 38.00 %, ON, OFF
434 s, 33.30 *C, 38.00 %, ON, OFF
435 s, 33.80 *C, 37.00 %, ON, OFF
436 s, 33.80 *C, 37.00 %, ON, OFF
437 s, 33.80 *C, 37.00 %, ON, OFF
438 s, 33.80 *C, 37.00 %, ON, OFF
439 s, 33.80 *C, 37.00 %, ON, OFF
440 s, 33.80 *C, 37.00 %, ON, OFF
441 s, 33.80 *C, 37.00 %, ON, OFF
442 s, 33.80 *C, 37.00 %, ON, OFF
443 s, 33.90 *C, 36.00 %, ON, OFF
444 s, 33.90 *C, 36.00 %, ON, OFF
445 s, 34.20 *C, 36.00 %, ON, OFF
446 s, 34.20 *C, 36.00 %, ON, OFF
447 s, 34.20 *C, 36.00 %, ON, OFF
448 s, 34.20 *C, 36.00 %, ON, OFF
449 s, 34.20 *C, 36.00 %, ON, OFF
450 s, 34.20 *C, 36.00 %, ON, OFF
451 s, 34.20 *C, 36.00 %, ON, OFF
452 s, 34.20 *C, 36.00 %, ON, OFF
453 s, 34.70 *C, 36.00 %, ON, OFF
454 s, 34.70 *C, 36.00 %, ON, OFF
455 s, 34.70 *C, 35.00 %, ON, OFF
456 s, 34.70 *C, 35.00 %, ON, OFF
457 s, 34.70 *C, 35.00 %, ON, OFF
458 s, 34.70 *C, 35.00 %, ON, OFF
459 s, 34.70 *C, 35.00 %, ON, OFF
460 s, 34.70 *C, 35.00 %, ON, OFF
461 s, 34.70 *C, 35.00 %, ON, OFF
462 s, 34.70 *C, 35.00 %, ON, OFF
463 s, 34.80 *C, 35.00 %, ON, OFF
464 s, 34.80 *C, 35.00 %, ON, OFF
465 s, 35.20 *C, 33.00 %, ON, OFF
466 s, 35.20 *C, 33.00 %, ON, OFF
467 s, 35.20 *C, 33.00 %, ON, OFF
468 s, 35.20 *C, 33.00 %, ON, OFF
469 s, 35.20 *C, 33.00 %, ON, OFF
470 s, 35.20 *C, 33.00 %, ON, OFF
471 s, 35.20 *C, 33.00 %, ON, OFF
472 s, 35.20 *C, 33.00 %, ON, OFF
473 s, 35.20 *C, 33.00 %, ON, OFF
474 s, 35.20 *C, 33.00 %, ON, OFF
476 s, 35.20 *C, 33.00 %, ON, OFF
477 s, 35.20 *C, 33.00 %, ON, OFF
478 s, 35.20 *C, 32.00 %, ON, OFF
479 s, 35.20 *C, 32.00 %, ON, OFF
480 s, 35.20 *C, 32.00 %, ON, OFF
481 s, 35.20 *C, 32.00 %, ON, OFF
482 s, 35.20 *C, 31.00 %, ON, OFF
483 s, 35.20 *C, 31.00 %, ON, OFF
484 s, 35.20 *C, 31.00 %, ON, OFF
485 s, 35.20 *C, 31.00 %, ON, OFF
486 s, 35.20 *C, 31.00 %, ON, OFF
487 s, 35.20 *C, 31.00 %, ON, OFF
488 s, 34.80 *C, 32.00 %, ON, OFF
489 s, 34.80 *C, 32.00 %, ON, OFF
490 s, 34.70 *C, 31.00 %, ON, OFF
491 s, 34.70 *C, 31.00 %, ON, OFF
492 s, 34.70 *C, 31.00 %, ON, OFF
493 s, 34.70 *C, 31.00 %, ON, OFF
494 s, 34.70 *C, 31.00 %, ON, OFF
495 s, 34.70 *C, 31.00 %, ON, OFF
496 s, 34.20 *C, 31.00 %, ON, OFF
497 s, 34.20 *C, 31.00 %, ON, OFF
498 s, 34.20 *C, 32.00 %, ON, OFF
499 s, 34.20 *C, 32.00 %, ON, OFF
500 s, 34.20 *C, 32.00 %, ON, OFF
501 s, 34.20 *C, 32.00 %, ON, OFF
502 s, 33.80 *C, 32.00 %, ON, OFF
503 s, 33.80 *C, 32.00 %, ON, OFF
504 s, 33.80 *C, 32.00 %, ON, OFF
505 s, 33.80 *C, 32.00 %, ON, OFF
506 s, 33.40 *C, 32.00 %, ON, OFF
507 s, 33.40 *C, 32.00 %, ON, OFF
508 s, 33.30 *C, 33.00 %, ON, OFF
509 s, 33.30 *C, 33.00 %, ON, OFF
510 s, 33.30 *C, 33.00 %, ON, OFF
511 s, 33.30 *C, 33.00 %, ON, OFF
512 s, 32.80 *C, 34.00 %, ON, OFF
513 s, 32.80 *C, 34.00 %, ON, OFF
514 s, 32.80 *C, 34.00 %, ON, OFF
515 s, 32.80 *C, 34.00 %, ON, OFF
516 s, 32.30 *C, 34.00 %, ON, OFF
517 s, 32.30 *C, 34.00 %, ON, OFF
518 s, 32.30 *C, 35.00 %, ON, OFF
519 s, 32.30 *C, 35.00 %, ON, OFF
520 s, 32.10 *C, 35.00 %, ON, OFF
521 s, 32.10 *C, 35.00 %, ON, OFF
522 s, 31.80 *C, 35.00 %, ON, OFF
523 s, 31.80 *C, 35.00 %, ON, OFF
524 s, 31.80 *C, 35.00 %, ON, OFF
525 s, 31.80 *C, 35.00 %, ON, OFF
526 s, 31.30 *C, 35.00 %, ON, OFF
527 s, 31.30 *C, 35.00 %, ON, OFF
528 s, 31.30 *C, 36.00 %, ON, OFF
529 s, 31.30 *C, 36.00 %, ON, OFF
530 s, 30.80 *C, 36.00 %, ON, OFF
